file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00239_0038_331825_to_343216,དང་འཇིགས་སྣང་གིས་ཁེངས། འོན་ཀྱང་ཁོས་དེ་ནི་མི་སྲིད་སྙམ་པའི་རེ་བ་ཞིག་སྐྱེས་ནས་གཡང་འཛོམས་ལགས། ཁྱེད་རང་གིས་དེ་འདྲ་མ་གསུངས་དང་། ཐུགས་ལྷོད་ལྷོད་བྱས་ནད་གཞི་གསོས་ ,dang 'jigs snang gis khengs/_'on kyang khos de ni mi srid snyam pa'i re ba zhig skyes nas g.yang 'dzoms lags/_khyed rang gis de 'dra ma gsungs dang /_thugs lhod lhod byas nad gzhi gsos _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0038_331825_to_343216.wav,STT_AB,2,154,11.391,wav16k/STT_AB00239_0038_331825_to_343216.wav,དང་འཇིགས་སྣང་གིས་ཁེངས། འོན་ཀྱང་ཁོས་དེ་ནི་མི་སྲིད་སྙམ་པའི་རེ་བ་ཞིག་སྐྱེས་ནས་གཡང་འཛོམས་ལགས། ཁྱེད་རང་གིས་དེ་འདྲ་མ་གསུངས་དང་། ཐུགས་ལྷོད་ལྷོད་བྱས་ནད་གཞི་གསོས་ན་
STT_AB00239_0035_304547_to_306988,ངས་ནམ་གཞག་ཀུན་ཏུ་སེམས་བཟང་ཁོ་ན་མ་གཏོགས་ ,ngas nam gzhag kun tu sems bzang kho na ma gtogs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0035_304547_to_306988.wav,STT_AB,2,40,2.441,wav16k/STT_AB00239_0035_304547_to_306988.wav,ངས་ནམ་ཞག་ཀུན་ཏུ་སེམས་བཟང་ཁོ་ན་མ་གཏོགས་
STT_AB00239_0036_307534_to_319223,ངན་སེམས་དང་སྡིག་ལས་ག་གས་བྱེད་མྱོང་མེད། ད་རེས་ང་སྔོན་ལ་ཡ་འགྲོ་དགོས་པ་དེ་ནི་ཚེ་སྔོན་མའི་ལས་རེད། བྱས་ཙང་དམྱལ་བ་དང་བར་དོ་ལ་སྐྱེ་མི་སྲིད་པས་བློ་བདེ་པོ་གནང་ཞིག་ཅེས་བརྗོད།  ,ngan sems dang sdig las ga gas byed myong med/_da res nga sngon la ya 'gro dgos pa de ni tshe sngon ma'i las red/_byas tsang dmyal ba dang bar do la skye mi srid pas blo bde po gnang zhig ces brjod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0036_307534_to_319223.wav,STT_AB,2,166,11.689,wav16k/STT_AB00239_0036_307534_to_319223.wav,ངའི་སེམས་དང་འདི་ལས་ག་གེ་བྱེད་མྱོང་མེད། ད་རེས་ང་སྔོན་ལ་ཡ་འགྲོ་དགོས་པ་དེ་ནི་ཚེ་སྔོན་མའི་ལས་རེད། བྱས་ཙང་དམྱལ་བ་དང་བར་དོར་སྐྱེ་མི་སྲིད་པའི་བློ་བདེ་པོ་གནང་ཞིག་ཅེས་བརྗོད།
STT_AB00239_0037_320435_to_331825,གཡང་འཛོམས་ཀྱིས་དེ་ལྟར་ཤོད་སྐབས་དོན་གྲུབ་ཀྱི་སྣང་བར་གཤིན་རྗེའི་ལས་མཁན་གྱིས་གདུག་རྩུབ་ཆེན་པོས་རང་ཉིད་ཀྱི་བརྩེ་བའི་བཟའ་ཟླ་འཕྲོག་པར་ཡོང་བའི་ཚུལ་རྣམས་དངོས་སུ་མིག་མཐོང་གི་སྣང་བ་བྱུང་བས་སེམས་པ་སྐྱོ་བ་ ,g.yang 'dzoms kyis de ltar shod skabs don grub kyi snang bar gshin rje'i las mkhan gyis gdug rtsub chen pos rang nyid kyi brtse ba'i bza' zla 'phrog par yong ba'i tshul rnams dngos su mig mthong gi snang ba byung bas sems pa skyo ba _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0037_320435_to_331825.wav,STT_AB,2,194,11.39,wav16k/STT_AB00239_0037_320435_to_331825.wav,གཡང་འཛོམས་ཀྱིས་དེ་ལྟར་ཤོད་སྐབས་དོན་གྲུབ་ཀྱི་སྣང་བར་གཤིན་རྗེའི་ལས་མཁན་གྱིས་གདུག་རྩུབ་ཆེན་པོས་རང་ཉིད་ཀྱི་བརྩེ་བའི་བཟའ་ཟླ་འཕྲོག་པར་ཡོང་བའི་ཚུལ་རྣམས་དངོས་སུ་མིག་མཐུང་གི་སྣང་བ་བྱུང་བས་སེམས་པ་སྐྱོ་བ་
STT_AB00239_0045_410776_to_418950,འཛམ་བུ་གླིང་ན་ཚང་སྡེ་དཀོན་ཞེས་པ་ལྟར་ལས་དབང་གིས་རྐང་བཙུགས་ནས་ཁོ་ཚོའི་བདེ་སྐྱིད་ལ་ཕྲག་དོག་གིས་ཁོ་ཚོར་མནར་གཅོད་དེ་ལྟ་བུ་ཞིག་བྱེད།  ,'dzam bu gling na tshang sde dkon zhes pa ltar las dbang gis rkang btsugs nas kho tsho'i bde skyid la phrag dog gis kho tshor mnar gcod de lta bu zhig byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0045_410776_to_418950.wav,STT_AB,2,128,8.174,wav16k/STT_AB00239_0045_410776_to_418950.wav,འཛམ་བུ་གླིང་ན་ཚང་སྡེ་དཀོན་ཞེས་པ་ལྟར་ལས་དབང་གིས་རྐང་བཙུགས་ནས་ཁོ་ཚོའི་བདེ་སྐྱིད་ལ་ཕྲག་དོག་གིས་ཁོ་ཚོར་མནར་གཅོད་དེ་ལྟ་བུ་ཞིག་བྱས།
STT_AB00239_0046_420025_to_426083,བདེ་སྒྲོན་དང་དོན་གྲུབ་ཀྱིས་སེམས་རྩེ་གཅིག་གིས་མོ་ལུང་གསུང་བརྟག་ཞུས་པ་དང་ ,bde sgron dang don grub kyis sems rtse gcig gis mo lung gsung brtag zhus pa dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0046_420025_to_426083.wav,STT_AB,2,72,6.058,wav16k/STT_AB00239_0046_420025_to_426083.wav,བདེ་སྒྲོན་དང་དོན་གྲུབ་ཀྱིས་སེམས་རྩེ་གཅིག་གིས་མོ་ལུང་གསུང་རྟགས་ཞུས་པ་དང་
STT_AB00233_0116_1479251_to_1491823,ཡུལ་དབུས་ན་སངས་རྒྱས་པའི་རབ་བྱུང་བཞུགས་པ་མཐོང་ཚུལ་སོགས་བྲིས་པ་འདིས་ཤེས་ལ། བློན་པོ་དེ་དང་ཟླ་བ་སྦས་པའི་དུས་ན་ཅུང་ཟད་ཀྱང་མ་ནོར་བར་བརྩི་ནུས། སྟོན་པ་འདས་ནས་ཉིས་སྟོང་ ,yul dbus na sangs rgyas pa'i rab byung bzhugs pa mthong tshul sogs bris pa 'dis shes la/_blon po de dang zla ba sbas pa'i dus na cung zad kyang ma nor bar brtsi nus/_ston pa 'das nas nyis stong _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00233_0116_1479251_to_1491823.wav,STT_AB,2,160,12.572,wav16k/STT_AB00233_0116_1479251_to_1491823.wav,ཡུལ་དབུན་ན་སངས་རྒྱས་པའས་རབ་བྱུང་བཞུགས་པ་མཐོང་ཚུལ་སོགས་དྲིས་པ། འདི་བཤེས་ལ་ བློན་པོ་དེ་དང་ཟླ་བ་སྦས་པའི་དུས་ན་ཅུང་ཟད་ཀྱང་མ་ནོར་བར་རྩིས་ནུས། སྟོན་པ་འདས་ནས་ཉི་ོག
STT_AB00239_0043_389007_to_399695,ལས་ཀ་གང་ཅིར་འཇོན་པོ་ཡོད་པས་བདེ་སྒྲོན་གྱིས་ཧ་ཅང་དགའ་པོ་བྱེད་ཀྱི་ཡོད། ཁོང་གཉིས་འཆམ་པོ་ཡོད་པས་ད་བར་མ་འདོད་པའི་ཚིག་ཟུར་ཙམ་ལབ་རེས་མེད་སྟབས་མི་གཞན་གྱིས་ཁོ་གཉིས་ ,las ka gang cir 'jon po yod pas bde sgron gyis ha cang dga' po byed kyi yod/_khong gnyis 'cham po yod pas da bar ma 'dod pa'i tshig zur tsam lab res med stabs mi gzhan gyis kho gnyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0043_389007_to_399695.wav,STT_AB,2,155,10.688,wav16k/STT_AB00239_0043_389007_to_399695.wav,ལས་ཀ་གང་ཅིར་འཇོན་པོ་ཡོད་པས་བདེ་སྒྲོན་གྱིས་ཧ་ཅང་དགའ་པོ་བྱེད་ཀྱི་ཡོད། ཁོ་གཉིས་འཆམ་པོ་ཡོད་པས་ད་བར་མ་འདོད་པའི་ཚིག་ཟུར་ཙམ་ལབ་རིམ་མེད་སྟབས་མི་གཞན་གྱིས་ཁོ་གཉིས་
STT_AB00239_0044_399695_to_410383,མནའ་བ་དང་སྨྱུའི་བར་གྱི་འབྲེལ་བའི་དཔེ་སྟོན་དུ་བརྩི་གི་ཡོད། དེས་ན་ཁོ་ཚོའི་ཁྱིམ་ཚང་དེ་ནི་དངོས་གནས་བདེ་སྐྱིད་དྲོ་འཇམ་ལྡན་པའི་ཁྱིམ་ཚང་ཞིག་ཡིན་ནའང་འཇིག་རྟེན་གཏམ་དཔེར་ ,mna' ba dang smyu'i bar gyi 'brel ba'i dpe ston du brtsi gi yod/_des na kho tsho'i khyim tshang de ni dngos gnas bde skyid dro 'jam ldan pa'i khyim tshang zhig yin na'ang 'jig rten gtam dper _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00239_0044_399695_to_410383.wav,STT_AB,2,161,10.688,wav16k/STT_AB00239_0044_399695_to_410383.wav,མནའ་མ་དང་མྒྱུགས་མོའི་བར་གྱི་འབྲེལ་བའི་དཔེ་དོན་དུ་བརྩི་གྱི་ཡོད། དེས་ན་ཁོ་ཚོའི་ཁྱིམ་ཚང་དེ་ནི་དངོས་གནས་བདེ་སྐྱིད་དྲོ་འཆམ་ལྡན་པའི་ཁྱིམ་ཚང་ཞིག་ཡིན་ན་ཡང་འཇིག་རྟེན་གཏམ་དཔེར་
STT_AB00242_0044_269923_to_271168,འགག་ཅ་ད་ག་ཐུག་ཡོད་རེད།  ,'gag ca da ga thug yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00242_0044_269923_to_271168.wav,STT_AB,2,24,1.245,wav16k/STT_AB00242_0044_269923_to_271168.wav,འགག་བྱ་ད་ག་ཐུག་ཡོད་རེད།
